Age,Gender,Sexual orientation,School,Religion,Income,Personal[Sincerity],Personal[Loyalty],Personal[Self-confidence],Personal[Braveness],Personal[Optimism],Personal[Money],Personal[Attractiveness],Personal[Intelligence],Personal[Charisma],Personal[Spirituality],Personal[Generosity],Personal[Kindness],Personal[Adventurous],Personal[Fun],Personal[Energetic],Relationship,Future Partner[Sincerity],Future Partner[Loyalty],Future Partner[Self-confidence],Future Partner[Braveness],Future Partner[Optimism],Future Partner[Money],Future Partner[Attractiveness],Future Partner[Intelligence],Future Partner[Charisma],Future Partner[Spirituality],Future Partner[Generosity],Future Partner[Kindness],Future Partner[Adventurous],Future Partner[Fun],Future Partner[Energetic],Opposite sex[Sincerity],Opposite sex[Loyalty],Opposite sex[Self-confidence],Opposite sex[Braveness],Opposite sex[Optimism],Opposite sex[Money],Opposite sex[Attractiveness],Opposite sex[Intelligence],Opposite sex[Charisma],Opposite sex[Spirituality],Opposite sex[Generosity],Opposite sex[Kindness],Opposite sex[Adventurous],Opposite sex[Fun],Opposite sex[Energetic],Relationship rate,Time together,Kids,Partner[Sincerity],Partner[Loyalty],Partner[Self-confidence],Partner[Braveness],Partner[Optimism],Partner[Money],Partner[Attractiveness],Partner[Intelligence],Partner[Charisma],Partner[Spirituality],Partner[Generosity],Partner[Kindness],Partner[Adventurous],Partner[Fun],Partner[Energetic],Partner values[Sincerity],Partner values[Loyalty],Partner values[Self-confidence],Partner values[Braveness],Partner values[Optimism],Partner values[Money],Partner values[Attractiveness],Partner values[Intelligence],Partner values[Charisma],Partner values[Spirituality],Partner values[Generosity],Partner values[Kindness],Partner values[Adventurous],Partner values[Fun],Partner values[Energetic],Relationship[Respect],Relationship[Vulnerability],Relationship[Trust],Relationship[Honesty],Relationship[Kindness],Relationship[Boundaries],Relationship[Commitment],Relationship[Thoughtfulness],Relationship[Forgiveness],Relationship[Gentleness],Relationship[Affection],Relationship[Appreciation],Relationship[Validation],Relationship[Freedom],Relationship[Alone],Relationship type,ID,Relationship score,Gender_nm,Sexual orientation_nm,School_nm,Income_nm,Relationship_nm,Kids_nm,Religion_nm
26,Female,Heterosexual,Master,Christian,1000 - 1300 euros,6,7,4,7,7,4,6,6,6,4,6,7,4,7,5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6 anos,No,8.0,8.0,7.0,5.0,6.0,6.0,6.0,8.0,7.0,0.0,5.0,6.0,6.0,8.0,5.0,8.0,8.0,6.0,4.0,5.0,3.0,6.0,7.0,5.0,0.0,4.0,4.0,3.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,Monogamous,17,78.0,1,0,2,2,1,0,1
20,Male,Heterosexual,Bachelor,Christian,Less than 800 euros,5,7,5,5,6,6,4,6,6,5,6,6,5,7,5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6 meses.,No,7.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,4.0,6.0,4.0,5.0,4.0,5.0,7.0,4.0,5.0,5.0,5.0,7.0,5.0,6.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,Monogamous,18,80.0,0,0,1,0,1,0,1
20,Female,Heterosexual,High school,Christian,Less than 800 euros,7,8,2,2,1,2,5,6,5,3,6,6,7,7,6,No,7.0,8.0,4.0,6.0,5.0,0.0,6.0,6.0,6.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,6.0,7.0,0.0,8.0,6.0,6.0,0.0,0.0,6.0,8.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,1,0,0,0,0,0,1
36,Male,Heterosexual,Master,Christian,1300 - 1600 euros,7,8,5,6,5,3,5,7,6,5,8,8,4,8,6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,12 anos,Yes,8.0,8.0,6.0,7.0,8.0,4.0,8.0,8.0,7.0,4.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,5.0,8.0,5.0,0.0,6.0,7.0,6.0,4.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,Monogamous,20,87.0,0,0,2,3,1,1,1
26,Male,Heterosexual,Master,Christian,1600 - 2000 euros,6,8,4,6,4,2,3,5,5,3,6,6,6,6,6,No,8.0,8.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,0,0,2,4,0,0,1
21,Female,Heterosexual,Bachelor,Don’t know,Less than 800 euros,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,No,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,1,0,1,0,0,0,0
20,Female,Heterosexual,Bachelor,Don’t know,Less than 800 euros,7,6,5,5,5,4,6,6,6,3,7,7,6,6,6,No,8.0,8.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,1.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,4.0,5.0,5.0,7.0,6.0,5.0,1.0,6.0,6.0,5.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,1,0,1,0,0,0,0
28,Male,Heterosexual,Bachelor,Christian,1000 - 1300 euros,7,7,7,6,7,4,5,7,8,7,7,7,7,7,7,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,12,No,7.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,Monogamous,24,70.0,0,0,1,2,1,0,1
27,Female,Heterosexual,Master,Atheist,2000 - 3000 euros,5,7,4,7,3,6,6,8,7,1,6,6,6,7,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8 anos,No,8.0,7.0,4.0,5.0,2.0,6.0,7.0,8.0,6.0,0.0,6.0,5.0,5.0,7.0,6.0,8.0,8.0,6.0,4.0,2.0,2.0,7.0,8.0,7.0,0.0,4.0,5.0,6.0,8.0,6.0,5.0,6.0,6.0,4.0,3.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,Monogamous,25,80.0,1,0,2,5,1,0,-1
29,Female,Heterosexual,Master,Agnostic,1000 - 1300 euros,6,7,5,6,7,5,6,6,5,4,6,7,8,7,6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11 anos,No,6.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,7.0,7.0,8.0,7.0,6.0,8.0,8.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,1.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,Monogamous,26,86.0,1,0,2,2,1,0,0
45,Female,Heterosexual,Bachelor,Christian,1300 - 1600 euros,7,7,7,7,8,7,7,7,7,7,7,7,7,8,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,22 anos,Yes,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,Monogamous,27,89.0,1,0,1,3,1,1,1
24,Female,Heterosexual,Bachelor,Christian,800 - 1000 euros,7,8,4,4,3,0,3,7,6,4,8,8,4,5,4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10 anos,No,8.0,8.0,4.0,3.0,3.0,1.0,8.0,8.0,4.0,2.0,6.0,8.0,1.0,7.0,4.0,7.0,8.0,4.0,8.0,7.0,0.0,0.0,8.0,5.0,0.0,6.0,8.0,6.0,8.0,8.0,6.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,Monogamous,28,83.0,1,0,1,1,1,0,1
29,Male,Heterosexual,Master,Agnostic,1300 - 1600 euros,8,8,6,5,5,3,5,6,5,3,7,8,5,5,5,No,8.0,8.0,5.0,6.0,6.0,0.0,7.0,7.0,6.0,1.0,5.0,5.0,7.0,6.0,5.0,8.0,8.0,8.0,8.0,5.0,6.0,7.0,7.0,8.0,4.0,7.0,6.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,0,0,2,3,0,0,0
55,Male,Heterosexual,Doctorate,Christian,More than 3000 euros,8,8,6,6,5,4,4,6,6,8,8,8,4,2,4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,32 anos,Yes,8.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,4.0,3.0,4.0,8.0,8.0,5.0,5.0,5.0,4.0,4.0,7.0,6.0,8.0,8.0,8.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Monogamous,30,90.0,0,0,3,6,1,1,1
31,Male,Heterosexual,Master,Christian,1600 - 2000 euros,6,8,5,5,6,4,3,8,7,4,7,7,6,8,7,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,13 anos,Yes,4.0,8.0,5.0,8.0,4.0,6.0,7.0,4.0,3.0,5.0,5.0,7.0,8.0,5.0,5.0,7.0,8.0,6.0,6.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,6.0,7.0,8.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,6.0,4.0,Monogamous,31,78.0,0,0,2,4,1,1,1
54,Male,Heterosexual,Bachelor,Christian,More than 3000 euros,8,8,6,6,7,6,5,7,7,7,7,7,5,6,5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,28 anos,Yes,7.0,8.0,4.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,5.0,5.0,7.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,Monogamous,32,83.0,0,0,1,6,1,1,1
